"Time","Consumption","Location"
"2020-13-07 11:13:47","16.4","No location available yet"
"2020-13-07 11:13:48","16.4","No location available yet"
"2020-13-07 11:13:49","16.4","No location available yet"
"2020-13-07 11:13:50","16.4","No location available yet"
"2020-13-07 11:13:51","16.4","No location available yet"
"2020-13-07 11:13:52","16.4","No location available yet"
"2020-13-07 11:13:53","16.4","No location available yet"
"2020-13-07 11:13:54","16.4","No location available yet"
"2020-13-07 11:13:55","16.4","No location available yet"
"Time","Consumption","Location"
"2020-15-07 11:15:23","17.1","No location available yet"
"2020-15-07 11:15:24","17.1","No location available yet"
"2020-15-07 11:15:25","17.1","No location available yet"
"2020-15-07 11:15:26","17.1","No location available yet"
"2020-15-07 11:15:27","16.1","No location available yet"
"2020-15-07 11:15:28","16.1","No location available yet"
"2020-15-07 11:15:29","16.1","No location available yet"
"2020-15-07 11:15:30","16.1","No location available yet"
"2020-15-07 11:15:31","16.1","No location available yet"
"Time","Consumption","Location"
"2020-17-07 11:17:07","16.9","No location available yet"
"2020-17-07 11:17:08","16.9","No location available yet"
"2020-17-07 11:17:09","16.9","No location available yet"
"2020-17-07 11:17:10","16.9","No location available yet"
"2020-17-07 11:17:11","16.9","No location available yet"
"2020-17-07 11:17:12","16.9","No location available yet"
"Time","Consumption","Location"
"2020-17-07 11:17:38","10.0","No location available yet"
"2020-17-07 11:17:39","10.0","No location available yet"
"2020-17-07 11:17:41","10.0","No location available yet"
"2020-17-07 11:17:42","10.0","No location available yet"
"2020-17-07 11:17:43","10.0","No location available yet"
"2020-17-07 11:17:44","10.0","No location available yet"
"2020-17-07 11:17:45","10.0","No location available yet"
"2020-17-07 11:17:46","10.0","No location available yet"
"2020-17-07 11:17:47","10.0","No location available yet"
"Time","Consumption","Location"
"2020-19-07 11:19:25","16.7","No location available yet"
"2020-19-07 11:19:26","16.7","No location available yet"
"2020-19-07 11:19:27","16.7","No location available yet"
"2020-19-07 11:19:28","16.7","f3p21T1t111918"
"2020-19-07 11:19:29","16.7","f3p21T1t111918"
"2020-19-07 11:19:30","16.7","f3p21T1t111918"
"2020-19-07 11:19:32","16.7","f3p21T1t111918"
"2020-19-07 11:19:33","16.7","f3p21T1t111918"
"2020-19-07 11:19:34","16.7","f3p21T1t111918"
"2020-19-07 11:19:35","16.7","f3p21T1t111918"
"2020-19-07 11:19:36","16.7","f3p21T1t111918"
"2020-19-07 11:19:37","16.7","f3p21T1t111918"
"2020-19-07 11:19:38","16.7","f3p21T1t111918"
"2020-19-07 11:19:39","16.7","f3p21T1t111918"
"2020-19-07 11:19:40","16.7","f3p21T1t111918"
"2020-19-07 11:19:41","16.7","f3p21T1t111918"
"2020-19-07 11:19:42","16.7","f3p21T1t111918"
"2020-19-07 11:19:43","16.7","f3p21T1t111918"
"2020-19-07 11:19:44","16.7","f3p21T1t111918"
"2020-19-07 11:19:45","16.7","f3p21T1t111918"
"2020-19-07 11:19:46","16.7","f3p21T1t111918"
"2020-19-07 11:19:47","16.7","f3p21T1t111918"
"2020-19-07 11:19:48","16.7","f3p21T1t111918"
"2020-19-07 11:19:49","16.7","f3p21T1t111918"
"2020-19-07 11:19:50","13.3","f3p21T1t111918"
"2020-19-07 11:19:51","13.3","f3p21T1t111918"
"2020-19-07 11:19:52","13.3","f3p21T1t111918"
"2020-19-07 11:19:53","13.3","f3p21T1t111918"
"2020-19-07 11:19:54","13.3","f3p21T1t111918"
"2020-19-07 11:19:55","13.3","f3p21T1t111918"
"2020-19-07 11:19:56","13.3","f3p21T1t111918"
"2020-19-07 11:19:57","13.3","f3p21T1t111918"
"2020-19-07 11:19:58","13.3","f3p21T1t111918"
"2020-19-07 11:19:59","13.3","f3p21T1t111918"
"2020-20-07 11:20:00","13.3","f3p21T1t111918"
"2020-20-07 11:20:01","13.3","f3p21T1t111918"
"2020-20-07 11:20:02","13.3","f3p21T1t111918"
"2020-20-07 11:20:03","13.3","f3p21T1t111918"
"2020-20-07 11:20:04","13.3","f3p21T1t111918"
"2020-20-07 11:20:05","13.3","f3p21T1t111918"
"2020-20-07 11:20:06","13.3","f3p21T1t111918"
"2020-20-07 11:20:07","13.3","f3p21T1t111918"
"2020-20-07 11:20:08","13.3","f3p21T1t111918"
"2020-20-07 11:20:09","13.3","f3p21T1t111918"
"2020-20-07 11:20:10","13.3","f3p21T1t111918"
"2020-20-07 11:20:11","13.3","f3p21T1t111918"
"2020-20-07 11:20:12","13.3","f3p21T1t111918"
"2020-20-07 11:20:13","13.3","f3p21T1t111918"
"2020-20-07 11:20:14","13.3","f3p21T1t111918"
"2020-20-07 11:20:15","13.3","f3p21T1t111918"
"2020-20-07 11:20:16","13.3","f3p21T1t111918"
"2020-20-07 11:20:17","13.3","f3p21T1t111918"
"2020-20-07 11:20:18","13.3","f3p21T1t111918"
"2020-20-07 11:20:19","13.3","f3p21T1t111918"
"2020-20-07 11:20:20","16.8","f3p21T1t111918"
"2020-20-07 11:20:21","16.8","f3p21T1t111918"
"2020-20-07 11:20:22","16.8","f3p21T1t111918"
"2020-20-07 11:20:23","16.8","f3p21T1t111918"
"2020-20-07 11:20:24","16.8","f3p21T1t111918"
"2020-20-07 11:20:25","16.8","f3p21T1t111918"
"2020-20-07 11:20:26","16.8","f3p21T1t111918"
"2020-20-07 11:20:27","16.8","f3p21T1t111918"
"2020-20-07 11:20:28","16.8","f3p21T1t111918"
"2020-20-07 11:20:29","16.8","f3p21T1t111918"
"2020-20-07 11:20:30","16.8","f3p21T1t111918"
"2020-20-07 11:20:31","16.8","f3p21T1t111918"
"2020-20-07 11:20:32","16.8","f3p21T1t111918"
"2020-20-07 11:20:33","16.8","f3p21T1t111918"
"2020-20-07 11:20:34","16.8","f3p21T1t111918"
"2020-20-07 11:20:35","16.8","f3p21T1t111918"
"2020-20-07 11:20:36","16.8","f3p21T1t111918"
"2020-20-07 11:20:37","16.8","f3p21T1t111918"
"2020-20-07 11:20:38","16.8","f3p21T1t111918"
"2020-20-07 11:20:39","16.8","f3p21T1t111918"
"2020-20-07 11:20:40","16.8","f3p21T1t111918"
"2020-20-07 11:20:41","16.8","f3p21T1t111918"
"2020-20-07 11:20:42","16.8","f3p21T1t111918"
"2020-20-07 11:20:43","16.8","f3p21T1t111918"
"2020-20-07 11:20:44","16.8","f3p21T1t111918"
"2020-20-07 11:20:45","16.8","f3p21T1t111918"
"2020-20-07 11:20:46","16.8","f3p21T1t111918"
"2020-20-07 11:20:47","16.8","f3p21T1t111918"
"2020-20-07 11:20:48","16.8","f3p21T1t111918"
"2020-20-07 11:20:49","15.9","f3p21T1t111918"
"2020-20-07 11:20:50","15.9","f3p21T1t111918"
"2020-20-07 11:20:51","15.9","f3p21T1t111918"
"2020-20-07 11:20:52","15.9","f3p21T1t111918"
"2020-20-07 11:20:53","15.9","f3p21T1t111918"
"2020-20-07 11:20:54","15.9","f3p21T1t111918"
"2020-20-07 11:20:55","15.9","f3p21T1t111918"
"2020-20-07 11:20:56","15.9","f3p21T1t111918"
"2020-20-07 11:20:57","15.9","f3p21T1t111918"
"2020-20-07 11:20:58","15.9","f3p21T1t111918"
"2020-20-07 11:20:59","15.9","f3p21T1t111918"
"2020-21-07 11:21:00","15.9","f3p21T1t111918"
"2020-21-07 11:21:01","15.9","f3p21T1t111918"
"2020-21-07 11:21:02","15.9","f3p21T1t111918"
"2020-21-07 11:21:03","15.9","f3p21T1t111918"
"2020-21-07 11:21:04","15.9","f3p21T1t111918"
"2020-21-07 11:21:05","15.9","f3p21T1t111918"
"2020-21-07 11:21:06","15.9","f3p21T1t111918"
"2020-21-07 11:21:07","15.9","f3p21T1t111918"
"2020-21-07 11:21:08","15.9","f3p21T1t111918"
"2020-21-07 11:21:27","11.1","f3p21T1t111918"
"2020-21-07 11:21:28","11.1","f3p21T1t111918"
"2020-21-07 11:21:30","11.1","f3p21T1t111918"
"2020-21-07 11:21:31","11.1","f3p21T1t111918"
"2020-21-07 11:21:32","11.1","f3p21T1t111918"
"2020-21-07 11:21:33","11.1","f3p21T1t111918"
"2020-21-07 11:21:34","11.1","f3p21T1t111918"
"2020-21-07 11:21:35","11.1","f3p21T1t111918"
"2020-21-07 11:21:36","11.1","f3p21T1t111918"
"2020-21-07 11:21:37","11.1","f3p21T1t111918"
"2020-21-07 11:21:38","11.1","f3p21T1t111918"
"2020-21-07 11:21:39","11.1","f3p21T1t111918"
"2020-21-07 11:21:46","11.1","f3p21T1t111918"
"2020-21-07 11:21:47","11.1","f3p21T1t111918"
"2020-21-07 11:21:48","11.1","f3p21T1t111918"
"2020-21-07 11:21:49","11.1","f3p21T1t111918"
"2020-21-07 11:21:50","17.6","f3p21T1t111918"
"2020-21-07 11:21:51","17.6","f3p21T1t111918"
"2020-21-07 11:21:52","17.6","f3p21T1t111918"
